,fullName,termType,rxcui
1225,1.5 ML brodalumab 140 MG/ML Prefilled Syringe,SCD,1872256
1226,1.5 ML brodalumab 140 MG/ML Prefilled Syringe [Siliq],SBD,1872261
1227,1.5 ML buprenorphine 200 MG/ML Prefilled Syringe,SCD,1996192
1228,1.5 ML buprenorphine 200 MG/ML Prefilled Syringe [Sublocade],SBD,1996193
1229,1.5 ML cabazitaxel 40 MG/ML Injection,SCD,1001433
1230,1.5 ML cabazitaxel 40 MG/ML Injection [Jevtana],SBD,1376084
1231,1.5 ML carbachol 0.1 MG/ML Injection,SCD,308966
1232,1.5 ML carbachol 0.1 MG/ML Injection [Miostat],SBD,991606
1233,1.5 ML cilgavimab 100 MG/ML Injection,SCD,2587310
1234,1.5 ML elapegademase-lvlr 1.6 MG/ML Injection,SCD,2059223
1235,1.5 ML elapegademase-lvlr 1.6 MG/ML Injection [Revcovi],SBD,2059228
1236,1.5 ML follitropin alfa 600 UNT/ML Pen Injector,SCD,1654184
1237,1.5 ML follitropin alfa 600 UNT/ML Pen Injector [Gonal F],SBD,1594334
1238,1.5 ML fomepizole 1000 MG/ML Injection,SCD,310414
1239,1.5 ML fremanezumab-vfrm 150 MG/ML Auto-Injector,SCD,2287903
1240,1.5 ML fremanezumab-vfrm 150 MG/ML Auto-Injector [Ajovy],SBD,2287905
1241,1.5 ML fremanezumab-vfrm 150 MG/ML Prefilled Syringe,SCD,2056695
1242,1.5 ML fremanezumab-vfrm 150 MG/ML Prefilled Syringe [Ajovy],SBD,2056700
1243,1.5 ML inclisiran 189 MG/ML Prefilled Syringe,SCD,2588263
1244,1.5 ML inclisiran 189 MG/ML Prefilled Syringe [Leqvio],SBD,2588269
1245,1.5 ML inotersen 189 MG/ML Prefilled Syringe,SCD,2099318
1246,1.5 ML inotersen 189 MG/ML Prefilled Syringe [Tegsedi],SBD,2099323
1247,1.5 ML insulin glargine 300 UNT/ML Pen Injector,SCD,1604539
1248,1.5 ML insulin glargine 300 UNT/ML Pen Injector [Toujeo],SBD,1604544
1249,1.5 ML lenacapavir 309 MG/ML Injection,SCD,2625904
1250,1.5 ML lenacapavir 309 MG/ML Injection [Sunlenca],SBD,2625909
1251,1.5 ML leuprolide acetate 15 MG/ML Prefilled Syringe,SCD,1115467
1252,1.5 ML leuprolide acetate 15 MG/ML Prefilled Syringe [Lupron],SBD,1115468
1253,1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD,1115257
1254,1.5 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Lupron],SBD,1115259
1255,1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe,SCD,1115472
1256,1.5 ML leuprolide acetate 7.5 MG/ML Prefilled Syringe [Lupron],SBD,1115473
1257,1.5 ML meperidine hydrochloride 50 MG/ML Injection,SCD,1665690
1258,1.5 ML meperidine hydrochloride 50 MG/ML Injection [Demerol],SBD,1665691
1259,1.5 ML morphine sulfate liposomal 10 MG/ML Injection,SCD,1731990
1260,1.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe,SCD,858052
1261,1.5 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega],SBD,858053
1262,1.5 ML palonosetron 0.05 MG/ML Injection,SCD,1728050
1263,1.5 ML pramlintide acetate 1 MG/ML Pen Injector,SCD,861044
1264,1.5 ML pramlintide acetate 1 MG/ML Pen Injector [Symlin],SBD,861045
1265,1.5 ML somapacitan-beco 10 MG/ML Pen Injector,SCD,2636951
1266,1.5 ML somapacitan-beco 10 MG/ML Pen Injector [Sogroya],SBD,2636954
1267,1.5 ML somapacitan-beco 3.3 MG/ML Pen Injector,SCD,2571802
1268,1.5 ML somapacitan-beco 3.3 MG/ML Pen Injector [Sogroya],SBD,2571805
1269,1.5 ML somapacitan-beco 6.7 MG/ML Pen Injector,SCD,2557398
1270,1.5 ML somapacitan-beco 6.7 MG/ML Pen Injector [Sogroya],SBD,2557403
1271,1.5 ML somatropin 10 MG/ML Pen Injector,SCD,847243
1272,1.5 ML somatropin 10 MG/ML Pen Injector [Norditropin],SBD,847245
1273,1.5 ML somatropin 3.3 MG/ML Cartridge,SCD,1736267
1274,1.5 ML somatropin 3.3 MG/ML Cartridge [Omnitrope],SBD,864110
1275,1.5 ML somatropin 3.33 MG/ML Pen Injector,SCD,1736262
1276,1.5 ML somatropin 3.33 MG/ML Pen Injector [Norditropin],SBD,847247
1277,1.5 ML somatropin 6.67 MG/ML Cartridge,SCD,1736337
1278,1.5 ML somatropin 6.67 MG/ML Cartridge [Omnitrope],SBD,854302
1279,1.5 ML somatropin 6.67 MG/ML Pen Injector,SCD,1736329
1280,1.5 ML somatropin 6.67 MG/ML Pen Injector [Norditropin],SBD,847348
1281,1.5 ML tixagevimab 100 MG/ML Injection,SCD,2587304
1282,1.56 ML abaloparatide 2 MG/ML Pen Injector,SCD,1921075
1283,1.56 ML abaloparatide 2 MG/ML Pen Injector [Tymlos],SBD,1921081
1284,1.6 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe,SCD,1673269
1285,1.6 ML aripiprazole lauroxil 276 MG/ML Prefilled Syringe [Aristada],SBD,1673274
1286,1.6 ML filgrastim 0.3 MG/ML Injection,SCD,1649963
1287,1.6 ML filgrastim 0.3 MG/ML Injection [Neupogen],SBD,1649964
1288,1.6 ML filgrastim-aafi 0.3 MG/ML Injection,SCD,2057218
1289,1.6 ML filgrastim-aafi 0.3 MG/ML Injection [Nivestym],SBD,2057219
1290,1.6 ML filgrastim-ayow 0.3 MG/ML Injection,SCD,2595959
1291,1.6 ML filgrastim-ayow 0.3 MG/ML Injection [Releuko],SBD,2595960
1292,1.6 ML tbo-filgrastim 0.3 MG/ML Injection,SCD,2101464
1293,1.6 ML tbo-filgrastim 0.3 MG/ML Injection [Granix],SBD,2101465
1294,1.7 ML aducanumab-avwa 100 MG/ML Injection,SCD,2557232
1295,1.7 ML aducanumab-avwa 100 MG/ML Injection [Aduhelm],SBD,2557233
1296,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.005 MG/ML Cartridge,SCD,1595029
1297,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.005 MG/ML Cartridge [Articadent],SBD,1011646
1298,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.005 MG/ML Cartridge [Septocaine],SBD,1150829
1299,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge,SCD,1595035
1300,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge [Articadent],SBD,1011648
1301,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge [Septocaine],SBD,861588
1302,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge [Zorcaine],SBD,861592
1303,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.009 MG/ML Cartridge,SCD,1928853
1304,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.009 MG/ML Cartridge [Ultacan],SBD,1928858
1305,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.018 MG/ML Cartridge,SCD,1928862
1306,1.7 ML articaine hydrochloride 40 MG/ML / epinephrine bitartrate 0.018 MG/ML Cartridge [Ultacan],SBD,1928864
1307,1.7 ML denosumab 70 MG/ML Injection,SCD,1046398
1308,1.7 ML denosumab 70 MG/ML Injection [Xgeva],SBD,1046402
1309,1.7 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge,SCD,1595042
1310,1.7 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte],SBD,1012709
1311,1.7 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge,SCD,1293648
1312,1.7 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Lignospan],SBD,1011809
1313,1.7 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Xylocaine with Epinephrine],SBD,1608499
1314,1.7 ML epinephrine 0.02 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge,SCD,1657026
1315,1.7 ML epinephrine 0.02 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Lignospan],SBD,1011814
1316,1.7 ML epinephrine 0.02 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge [Xylocaine with Epinephrine],SBD,1010768
1317,1.7 ML levonordefrin 0.05 MG/ML / mepivacaine hydrochloride 20 MG/ML Cartridge,SCD,1661504
1318,1.7 ML levonordefrin 0.05 MG/ML / mepivacaine hydrochloride 20 MG/ML Cartridge [Carbocaine with NeoCobefrin],SBD,1012785
1319,1.7 ML levonordefrin 0.05 MG/ML / mepivacaine hydrochloride 20 MG/ML Cartridge [Scandonest L],SBD,1012769
1320,1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge,SCD,1305263
1321,1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge [Carbocaine],SBD,1012745
1322,1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge [Polocaine],SBD,1012756
1323,1.7 ML mepivacaine hydrochloride 30 MG/ML Cartridge [Scandonest],SBD,1012762
1324,1.7 ML phentolamine mesylate 0.235 MG/ML Cartridge,SCD,1361019
1325,1.7 ML phentolamine mesylate 0.235 MG/ML Cartridge [OraVerse],SBD,1361021
1326,1.7 ML sodium bicarbonate 84 MG/ML Cartridge,SCD,1868482
1327,1.7 ML teclistamab-cqyv 90 MG/ML Injection,SCD,2619441
1328,1.7 ML teclistamab-cqyv 90 MG/ML Injection [Tecvayli],SBD,2619444
1329,1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe,SCD,1650973
1330,1.75 ML paliperidone palmitate 312 MG/ML Prefilled Syringe [Invega],SBD,1650974
1331,1.8 ML articaine hydrochloride 40 MG/ML / epinephrine 0.005 MG/ML Cartridge,SCD,1658966
1332,1.8 ML articaine hydrochloride 40 MG/ML / epinephrine 0.005 MG/ML Cartridge [Orabloc],SBD,1091072
1333,1.8 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge,SCD,1661483
1334,1.8 ML articaine hydrochloride 40 MG/ML / epinephrine 0.01 MG/ML Cartridge [Orabloc],SBD,1091068
1335,1.8 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Cartridge,SCD,1670365
1336,1.8 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Cartridge [Marcaine with Epinephrine],SBD,1673142
1337,1.8 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Cartridge [Vivacaine],SBD,1012461
1338,1.8 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge,SCD,1596950
1339,1.8 ML epinephrine 0.005 MG/ML / prilocaine hydrochloride 40 MG/ML Cartridge [Citanest Forte],SBD,1993224
1340,1.8 ML epinephrine 0.01 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge,SCD,1293628
1341,1.8 ML epinephrine 0.02 MG/ML / lidocaine hydrochloride 20 MG/ML Cartridge,SCD,1657016
1342,1.8 ML prilocaine hydrochloride 40 MG/ML Cartridge,SCD,1595048
1343,1.8 ML prilocaine hydrochloride 40 MG/ML Cartridge [Citanest],SBD,1012706
1344,1.91 ML tezepelumab-ekko 110 MG/ML Auto-Injector,SCD,2628920
1345,1.91 ML tezepelumab-ekko 110 MG/ML Auto-Injector [Tezspire],SBD,2628923
1346,1.91 ML tezepelumab-ekko 110 MG/ML Injection,SCD,2587794
1347,1.91 ML tezepelumab-ekko 110 MG/ML Injection [Tezspire],SBD,2587800
1348,1.91 ML tezepelumab-ekko 110 MG/ML Prefilled Syringe,SCD,2587803
1349,1.91 ML tezepelumab-ekko 110 MG/ML Prefilled Syringe [Tezspire],SBD,2587806
1350,10 ACTUAT olodaterol 0.0025 MG/ACTUAT / tiotropium 0.0025 MG/ACTUAT Inhalation Spray,SCD,2166927
1351,10 ACTUAT olodaterol 0.0025 MG/ACTUAT / tiotropium 0.0025 MG/ACTUAT Inhalation Spray [Stiolto],SBD,2166928
1352,10 ACTUAT tiotropium 0.0025 MG/ACTUAT Inhalation Spray,SCD,2166203
1353,10 ACTUAT tiotropium 0.0025 MG/ACTUAT Inhalation Spray [Spiriva],SBD,2166204
1354,10 ML acyclovir 50 MG/ML Injection,SCD,1734932
1355,10 ML alfentanil 0.5 MG/ML Injection,SCD,1723208
1356,10 ML aminophylline 25 MG/ML Injection,SCD,1724668
1357,10 ML arsenic trioxide 1 MG/ML Injection,SCD,829926
1358,10 ML atropine sulfate 0.1 MG/ML Prefilled Syringe,SCD,1190546
1359,10 ML avelumab 20 MG/ML Injection,SCD,1875542
1360,10 ML avelumab 20 MG/ML Injection [Bavencio],SBD,1875547
1361,10 ML bretylium tosylate 50 MG/ML Injection,SCD,2176262
1362,10 ML bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection,SCD,1867594
1363,10 ML bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine],SBD,1867612
1364,10 ML bupivacaine hydrochloride 2.5 MG/ML / epinephrine 0.005 MG/ML Injection [Sensorcaine with Epinephrine],SBD,1867618
1365,10 ML bupivacaine hydrochloride 2.5 MG/ML Injection,SCD,1725078
1366,10 ML bupivacaine hydrochloride 2.5 MG/ML Injection [Marcaine],SBD,1725079
1367,10 ML bupivacaine hydrochloride 2.5 MG/ML Injection [Sensorcaine],SBD,1725175
1368,10 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection,SCD,1672917
1369,10 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection [Marcaine with Epinephrine],SBD,1673242
1370,10 ML bupivacaine hydrochloride 5 MG/ML / epinephrine 0.005 MG/ML Injection [Sensorcaine with Epinephrine],SBD,1673296
1371,10 ML bupivacaine hydrochloride 5 MG/ML Injection,SCD,1724880
1372,10 ML bupivacaine hydrochloride 5 MG/ML Injection [Marcaine],SBD,1725044
1373,10 ML bupivacaine hydrochloride 5 MG/ML Injection [Sensorcaine],SBD,1724881
1374,10 ML bupivacaine hydrochloride 7.5 MG/ML Injection,SCD,1724787
1375,10 ML bupivacaine hydrochloride 7.5 MG/ML Injection [Marcaine],SBD,1724796
1376,10 ML bupivacaine hydrochloride 7.5 MG/ML Injection [Sensorcaine],SBD,1724809
1377,10 ML bupivacaine liposome 13.3 MG/ML Injection,SCD,1745061
1378,10 ML bupivacaine liposome 13.3 MG/ML Injection [Exparel],SBD,1745062
1379,10 ML busulfan 6 MG/ML Injection,SCD,253113
1380,10 ML busulfan 6 MG/ML Injection [Busulfex],SBD,284425
1381,10 ML calcium chloride 100 MG/ML Injection,SCD,828525
1382,10 ML calcium chloride 100 MG/ML Prefilled Syringe,SCD,828527
1383,10 ML calcium gluconate 100 MG/ML Injection,SCD,1668250
1384,10 ML casirivimab 60 MG/ML / imdevimab 60 MG/ML Injection,SCD,2557245
1385,10 ML casirivimab 60 MG/ML / imdevimab 60 MG/ML Injection [Regen-Cov],SBD,2557244
1386,10 ML chromic chloride 0.004 MG/ML Injection,SCD,204401
1387,10 ML cladribine 1 MG/ML Injection,SCD,240754
1388,10 ML clonidine hydrochloride 0.1 MG/ML Injection,SCD,884221
1389,10 ML clonidine hydrochloride 0.1 MG/ML Injection [Duraclon],SBD,884223
1390,10 ML clonidine hydrochloride 0.5 MG/ML Injection,SCD,884225
1391,10 ML clonidine hydrochloride 0.5 MG/ML Injection [Duraclon],SBD,884227
1392,10 ML crizanlizumab-tmca 10 MG/ML Injection,SCD,2262425
1393,10 ML crizanlizumab-tmca 10 MG/ML Injection [Adakveo],SBD,2262430
1394,10 ML cysteine hydrochloride 50 MG/ML Injection,SCD,1667993
1395,10 ML cysteine hydrochloride 50 MG/ML Injection [Elcys],SBD,2169281
1396,10 ML cysteine hydrochloride 50 MG/ML Injection [Nouress],SBD,2286589
1397,10 ML daunorubicin 5 MG/ML Injection,SCD,2002002
1398,10 ML diltiazem hydrochloride 5 MG/ML Injection,SCD,1791232
1399,10 ML dipyridamole 5 MG/ML Injection,SCD,309953
1400,10 ML docetaxel 20 MG/ML Injection,SCD,1918045
1401,10 ML dopamine hydrochloride 40 MG/ML Injection,SCD,1743938
1402,10 ML dopamine hydrochloride 80 MG/ML Injection,SCD,1743950
1403,10 ML dostarlimab-gxly 50 MG/ML Injection,SCD,2539972
1404,10 ML dostarlimab-gxly 50 MG/ML Injection [Jemperli],SBD,2539977
1405,10 ML doxorubicin hydrochloride 2 MG/ML Injection,SCD,1790099
1406,10 ML doxorubicin hydrochloride 2 MG/ML Injection [Adriamycin],SBD,1799308
1407,10 ML doxorubicin hydrochloride liposome 2 MG/ML Injection,SCD,1790115
1408,10 ML doxorubicin hydrochloride liposome 2 MG/ML Injection [Doxil],SBD,1790131
1409,10 ML doxorubicin hydrochloride liposome 2 MG/ML Injection [LipoDox],SBD,1790181
1410,10 ML durvalumab 50 MG/ML Injection,SCD,1919515
1411,10 ML durvalumab 50 MG/ML Injection [Imfinzi],SBD,1919516
1412,10 ML edetate calcium disodium 50 MG/ML Injection,SCD,2621357
1413,10 ML emapalumab-lzsg 5 MG/ML Injection,SCD,2104621
1414,10 ML emapalumab-lzsg 5 MG/ML Injection [Gamifant],SBD,2104622
1415,10 ML ephedrine sulfate 5 MG/ML Injection,SCD,2368456
1416,10 ML ephedrine sulfate 5 MG/ML Injection [Emerphed],SBD,2368461
1417,10 ML ephedrine sulfate 5 MG/ML Prefilled Syringe,SCD,2631017
1418,10 ML ephedrine sulfate 5 MG/ML Prefilled Syringe [Emerphed],SBD,2631018
1419,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 10 MG/ML Injection,SCD,1867938
1420,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 10 MG/ML Injection [Xylocaine with Epinephrine],SBD,1867940
1421,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 15 MG/ML Injection,SCD,1867992
1422,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 15 MG/ML Injection [Xylocaine with Epinephrine],SBD,1867993
1423,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 20 MG/ML Injection,SCD,1868028
1424,10 ML epinephrine 0.005 MG/ML / lidocaine hydrochloride 20 MG/ML Injection [Xylocaine with Epinephrine],SBD,1868029
1425,10 ML epinephrine 0.1 MG/ML Prefilled Syringe,SCD,727373
1426,10 ML eptifibatide 2 MG/ML Injection,SCD,1736470
1427,10 ML eptifibatide 2 MG/ML Injection [Integrilin],SBD,1736472
1428,10 ML esmolol hydrochloride 10 MG/ML Injection,SCD,1736546
1429,10 ML esmolol hydrochloride 10 MG/ML Injection [Brevibloc],SBD,1736547
1430,10 ML eteplirsen 50 MG/ML Injection,SCD,1810581
1431,10 ML eteplirsen 50 MG/ML Injection [Exondys],SBD,1810582
1432,10 ML etomidate 2 MG/ML Injection,SCD,1654006
1433,10 ML etomidate 2 MG/ML Injection [Amidate],SBD,1654009
1434,10 ML etranacogene dezaparvovec-drlb 10000000000000 VECTOR-GENOMES/ML Injection,SCD,2626772
1435,10 ML etranacogene dezaparvovec-drlb 10000000000000 VECTOR-GENOMES/ML Injection [Hemgenix],SBD,2626778
1436,10 ML fentanyl 0.05 MG/ML Injection,SCD,1735006
1437,10 ML ferric derisomaltose 100 MG/ML Injection,SCD,2274408
1438,10 ML ferric derisomaltose 100 MG/ML Injection [Monoferric],SBD,2274409
1439,"10 ML fibrinogen, human 106 MG/ML / thrombin, human 6.5 UNT/ML Prefilled Syringe",SCD,1305909
1440,"10 ML fibrinogen, human 106 MG/ML / thrombin, human 6.5 UNT/ML Prefilled Syringe [Artiss]",SBD,1305910
1441,"10 ML fibrinogen, human 106 MG/ML / thrombin, human 625 UNT/ML Prefilled Syringe",SCD,2003669
1442,"10 ML fibrinogen, human 106 MG/ML / thrombin, human 625 UNT/ML Prefilled Syringe [Tisseel]",SBD,2003670
1443,"10 ML fibrinogen, human 80 MG/ML / thrombin, human 500 UNT/ML Prefilled Syringe",SCD,2264608
1444,"10 ML fibrinogen, human 80 MG/ML / thrombin, human 500 UNT/ML Prefilled Syringe [Vistaseal]",SBD,2264609
1445,10 ML fluorouracil 50 MG/ML Injection,SCD,1791701
1446,10 ML fosphenytoin sodium 50 MG/ML Injection,SCD,2530882
1447,10 ML fosphenytoin sodium 50 MG/ML Injection [Sesquient],SBD,2530884
1448,10 ML fosphenytoin sodium 75 MG/ML Injection,SCD,1670195
1449,10 ML fosphenytoin sodium 75 MG/ML Injection [Cerebyx],SBD,1670197
1450,10 ML furosemide 10 MG/ML Injection,SCD,1719286
1451,10 ML furosemide 10 MG/ML Prefilled Syringe,SCD,727574
1452,10 ML furosemide 8 MG/ML Cartridge,SCD,2621022
1453,10 ML furosemide 8 MG/ML Cartridge [Furoscix],SBD,2621028
1454,10 ML ganciclovir 50 MG/ML Injection,SCD,1999531
1455,10 ML gentamicin 10 MG/ML Injection,SCD,1870686
1456,10 ML glofitamab-gxbm 1 MG/ML Injection,SCD,2639786
1457,10 ML glofitamab-gxbm 1 MG/ML Injection [Columvi],SBD,2639792
1458,10 ML glucose 250 MG/ML Prefilled Syringe,SCD,727518
1459,"10 ML heparin sodium, porcine 2500 UNT/ML Injection",SCD,1361577
1460,"10 ML hyaluronidase, human recombinant 160 UNT/ML Injection",SCD,1809535
1461,10 ML hyaluronidase-zzxf 2000 UNT/ML / pertuzumab-zzxf 60 MG/ML / trastuzumab-zzxf 60 MG/ML Injection,SCD,2383305
1462,10 ML hyaluronidase-zzxf 2000 UNT/ML / pertuzumab-zzxf 60 MG/ML / trastuzumab-zzxf 60 MG/ML Injection [Phesgo],SBD,2383307
1463,10 ML ibutilide fumarate 0.1 MG/ML Injection,SCD,979120
1464,10 ML ibutilide fumarate 0.1 MG/ML Injection [Corvert],SBD,979122
1465,10 ML idarubicin hydrochloride 1 MG/ML Injection,SCD,1791498
1466,10 ML idarubicin hydrochloride 1 MG/ML Injection [Idamycin],SBD,1791499
1467,10 ML immune globulin intravenous (human) - ifas 100 MG/ML Injection,SCD,2102435
1468,10 ML immune globulin intravenous (human) - ifas 100 MG/ML Injection [Panzyga],SBD,2102440
1469,10 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection,SCD,2167158
1470,10 ML immune globulin subcutaneous (human) - hipp 165 MG/ML Injection [Cutaquig],SBD,2167159
1471,10 ML immune globulin subcutaneous (human) - klhw 200 MG/ML Injection,SCD,2196390
1472,10 ML immune globulin subcutaneous (human) - klhw 200 MG/ML Injection [Xembify],SBD,2196391
1473,"10 ML immunoglobulin G, human 100 MG/ML Injection",SCD,1809434
1474,"10 ML immunoglobulin G, human 100 MG/ML Injection [Gammagard]",SBD,1809665
1475,"10 ML immunoglobulin G, human 100 MG/ML Injection [Gammaked]",SBD,1809436
1476,"10 ML immunoglobulin G, human 100 MG/ML Injection [Gamunex]",SBD,1809580
1477,"10 ML immunoglobulin G, human 180 MG/ML Injection",SCD,1809037
1478,"10 ML immunoglobulin G, human 180 MG/ML Injection [GamaSTAN]",SBD,1809038
1479,"10 ML immunoglobulin G, human 200 MG/ML Injection",SCD,1809068
1480,"10 ML immunoglobulin G, human 200 MG/ML Injection [Cuvitru]",SBD,1813417
1481,"10 ML immunoglobulin G, human 200 MG/ML Injection [Hizentra]",SBD,1809069
1482,"10 ML immunoglobulin G, human 200 MG/ML Prefilled Syringe",SCD,2268108
1483,"10 ML immunoglobulin G, human 200 MG/ML Prefilled Syringe [Hizentra]",SBD,2268109
1484,"10 ML immunoglobulin G, human 50 MG/ML Injection",SCD,1809427
1485,"10 ML immunoglobulin G, human 50 MG/ML Injection [Flebogamma]",SBD,1809429
1486,10 ML inebilizumab-cdon 10 MG/ML Injection,SCD,2373955
1487,10 ML inebilizumab-cdon 10 MG/ML Injection [Uplizna],SBD,2373960
1488,10 ML ipilimumab 5 MG/ML Injection,SCD,1657012
1489,10 ML ipilimumab 5 MG/ML Injection [Yervoy],SBD,1657013
1490,10 ML irinotecan hydrochloride liposome 4.3 MG/ML Injection,SCD,1719772
1491,10 ML irinotecan hydrochloride liposome 4.3 MG/ML Injection [Onivyde],SBD,1719777
1492,10 ML iron sucrose 20 MG/ML Injection,SCD,1741261
1493,10 ML iron sucrose 20 MG/ML Injection [Venofer],SBD,1741263
1494,10 ML leucovorin 10 MG/ML Injection,SCD,2099993
1495,10 ML lidocaine hydrochloride 10 MG/ML Injection,SCD,1737570
1496,10 ML lidocaine hydrochloride 10 MG/ML Injection [Xylocaine],SBD,1737571
1497,10 ML lidocaine hydrochloride 15 MG/ML Injection,SCD,1737640
1498,10 ML lidocaine hydrochloride 15 MG/ML Injection [Xylocaine],SBD,1737641
1499,10 ML lidocaine hydrochloride 20 MG/ML Injection,SCD,1737763
1500,10 ML lidocaine hydrochloride 20 MG/ML Injection [Xylocaine],SBD,1737764
1501,10 ML magnesium sulfate 500 MG/ML Injection,SCD,1658244
1502,10 ML magnesium sulfate 500 MG/ML Prefilled Syringe,SCD,829762
1503,10 ML manganese chloride 0.1 MG/ML Injection,SCD,237521
1504,10 ML manganese sulfate 0.1 MG/ML Injection,SCD,237522
1505,10 ML margetuximab-cmkb 25 MG/ML Injection,SCD,2474028
1506,10 ML margetuximab-cmkb 25 MG/ML Injection [Margenza],SBD,2474033
1507,10 ML methocarbamol 100 MG/ML Injection,SCD,238175
1508,10 ML methocarbamol 100 MG/ML Injection [Robaxin],SBD,207014
1509,10 ML methotrexate 25 MG/ML Injection,SCD,1655959
1510,10 ML methylene blue 10 MG/ML Injection,SCD,1737852
1511,10 ML methylene blue 5 MG/ML Injection,SCD,1788984
1512,10 ML methylene blue 5 MG/ML Injection [Provayblue],SBD,1788989
1513,10 ML milrinone lactate 1 MG/ML Injection,SCD,1791854
1514,10 ML morphine sulfate 0.5 MG/ML Injection,SCD,1728783
1515,10 ML morphine sulfate 0.5 MG/ML Injection [Astramorph],SBD,1728784
1516,10 ML morphine sulfate 0.5 MG/ML Injection [Duramorph],SBD,892473
1517,10 ML morphine sulfate 1 MG/ML Injection,SCD,1728800
1518,10 ML morphine sulfate 1 MG/ML Injection [Astramorph],SBD,1728801
1519,10 ML morphine sulfate 1 MG/ML Injection [Duramorph],SBD,892489
1520,10 ML morphine sulfate 25 MG/ML Injection,SCD,1731517
1521,10 ML naxitamab-gqgk 4 MG/ML Injection,SCD,2474239
1522,10 ML naxitamab-gqgk 4 MG/ML Injection [Danyelza],SBD,2474244
1523,10 ML nicardipine hydrochloride 2.5 MG/ML Injection,SCD,858607
1524,10 ML nicardipine hydrochloride 2.5 MG/ML Injection [Cardene],SBD,858609
1525,10 ML nitroglycerin 5 MG/ML Injection,SCD,237205
1526,10 ML nivolumab 10 MG/ML Injection,SCD,1657195
1527,10 ML nivolumab 10 MG/ML Injection [Opdivo],SBD,1657196
1528,10 ML ocrelizumab 30 MG/ML Injection,SCD,1876380
1529,10 ML ocrelizumab 30 MG/ML Injection [Ocrevus],SBD,1876385
1530,10 ML oxaliplatin 5 MG/ML Injection,SCD,1736776
1531,10 ML pamidronate disodium 3 MG/ML Injection,SCD,1737449
1532,10 ML pamidronate disodium 6 MG/ML Injection,SCD,1737451
1533,10 ML pamidronate disodium 9 MG/ML Injection,SCD,1737453
1534,10 ML pegunigalsidase alfa-iwxj 2 MG/ML Injection,SCD,2637456
1535,10 ML pegunigalsidase alfa-iwxj 2 MG/ML Injection [Elfabrio],SBD,2637462
1536,10 ML pemetrexed 10 MG/ML Injection,SCD,2637958
